Dataset,time
hardware, 13233829
hardware, 604224
hardware, 1814079
hardware, 607777
hardware, 1296372
hardware, 205740
hardware, 1462284
hardware, 1016969
hardware, 1812959
hardware, 389281
hardware, 9896522
hardware, 3393287
hardware, 5019527
hardware, 7815636
hardware, 1800
hardware, 263769
hardware, 354983
hardware, 4356360
hardware, 4891567
hardware, 1455979
hardware, 65272
hardware, 65273
hardware, 649386
hardware, 925050
hardware, 928679
hardware, 1375295
hardware, 3
hardware, 358240
hardware, 3
hardware, 5
hardware, 2424388
hardware, 2424391
hardware, 2424392
hardware, 4818576
hardware, 4818577
hardware, 4818580
hardware, 7619252
hardware, 7619255
hardware, 10722873
hardware, 11406691
hardware, 11475693
hardware, 575
hardware, 3773689
hardware, 5447843
hardware, 5537805
hardware, 5592714
hardware, 6031520
hardware, 6304176
hardware, 7149311
hardware, 7237519
hardware, 8637675
hardware, 8966093
hardware, 9676651
hardware, 10196586
hardware, 10878829
hardware, 11315489
hardware, 1367373
hardware, 1909234
hardware, 1997262
hardware, 2427643
hardware, 9152304
hardware, 2253057
hardware, 10278079
hardware, 12336459
hardware, 12336864
hardware, 97390
hardware, 11423357
hardware, 11519618
hardware, 11685614
hardware, 11685743
hardware, 12807224
hardware, 770469
hardware, 11836220
hardware, 12787423
hardware, 13411485
hardware, 1648660
hardware, 584527
hardware, 1571622
hardware, 1571624
hardware, 1700214
hardware, 1740480
hardware, 2228867
hardware, 2483729
hardware, 2769826
hardware, 2825193
hardware, 3083550
hardware, 2331305
hardware, 2343599
hardware, 2889466
hardware, 11224697
hardware, 14170255
hardware, 309406
hardware, 429571
hardware, 1381146
hardware, 1498149
hardware, 1716789
hardware, 8299014
hardware, 84439
hardware, 9767443
hardware, 161976
hardware, 176403
hardware, 194399
hardware, 439201
hardware, 540000
hardware, 5184603
hardware, 1354773
hardware, 9321031
hardware, 13170036
hardware, 324903
hardware, 944101
hardware, 1792803
hardware, 4128301
hardware, 4372199
hardware, 8245801
hardware, 9666902
hardware, 72
hardware, 11215463
hardware, 18910
hardware, 651385
hardware, 1101392
hardware, 1706184
hardware, 2915777
hardware, 9286889
hardware, 9345389
hardware, 2419199
hardware, 1101616
hardware, 8924393
hardware, 702907
hardware, 953067
hardware, 966601
hardware, 1298746
hardware, 1300515
hardware, 2368789
hardware, 2787299
hardware, 3216604
hardware, 3217517
hardware, 3547800
hardware, 3828563
hardware, 4064422
hardware, 4515318
hardware, 4757405
hardware, 5476505
hardware, 5822040
hardware, 5893205
hardware, 7002179
hardware, 132326
hardware, 226445
hardware, 237260
hardware, 251691
hardware, 312849
hardware, 323638
hardware, 327276
hardware, 330840
hardware, 399251
hardware, 410066
hardware, 417239
hardware, 424429
hardware, 485656
hardware, 496450
hardware, 510848
hardware, 2084433
hardware, 3039548
hardware, 3374356
hardware, 924621
hardware, 1568934
hardware, 2886959
hardware, 3853226
hardware, 3951629
hardware, 4864837
hardware, 6146695
hardware, 6157475
hardware, 6354874
hardware, 6355475
hardware, 6592701
hardware, 8665908
hardware, 9108301
hardware, 1112106
hardware, 291957
hardware, 110889
hardware, 334191
hardware, 945475
hardware, 1073553
hardware, 1412740
hardware, 2014738
hardware, 2063667
hardware, 2246359
hardware, 2257726
hardware, 3282547
hardware, 3593812
hardware, 4619957
hardware, 4929912
hardware, 5413536
hardware, 5621666
hardware, 6071179
hardware, 9347959
hardware, 10661659
hardware, 10689104
hardware, 16766522
hardware, 16975905
hardware, 1737894
hardware, 1771476
hardware, 2599908
hardware, 1737494
hardware, 1742456
hardware, 2017080
hardware, 2044477
hardware, 2666311
hardware, 2993449
hardware, 3397747
hardware, 3472904
hardware, 583450
hardware, 5472685
hardware, 2678287
hardware, 4901274
hardware, 5277544
hardware, 5392890
hardware, 2741318
hardware, 6885967
hardware, 7463159
hardware, 1717674
hardware, 2678405
hardware, 5277597
hardware, 7959596
hardware, 10627215
hardware, 574867
hardware, 1563261
hardware, 3973600
hardware, 6099668
hardware, 842210
hardware, 1813564
hardware, 1821100
hardware, 2445277
hardware, 49105
hardware, 2413596
hardware, 6101599
hardware, 20985
hardware, 646364
hardware, 720364
hardware, 615346
hardware, 4043406
hardware, 16004361
