test,time_window,time_leap,pattern,frequency,length,size
devices, 240000, 240000, 0112211334, 3, 5, 5
devices, 240000, 240000, 01122110, 3, 4, 3
devices, 240000, 240000, 0112200112, 3, 5, 3
devices, 240000, 240000, 011002211002, 3, 6, 3
devices, 240000, 240000, 01100221, 3, 4, 3
devices, 240000, 240000, 0110011002, 3, 5, 3
devices, 240000, 240000, 01100223, 2, 4, 4
devices, 300000, 60000, 01, 3191, 1, 2
devices, 300000, 60000, 0112, 735, 2, 3
devices, 300000, 60000, 011223, 86, 3, 4
devices, 300000, 60000, 0112233112, 38, 5, 4
devices, 300000, 60000, 01122331, 38, 4, 4
devices, 300000, 60000, 0110, 20, 2, 2
devices, 300000, 60000, 011221, 6, 3, 3
devices, 300000, 60000, 01122113, 4, 4, 4
devices, 300000, 60000, 011002, 4, 3, 3
devices, 300000, 60000, 011001, 4, 3, 2
devices, 300000, 60000, 011220, 2, 3, 3
devices, 300000, 60000, 01122001, 1, 4, 3
devices, 300000, 60000, 0110022110, 1, 5, 3
devices, 300000, 60000, 01100221, 1, 4, 3
devices, 300000, 120000, 01, 3191, 1, 2
devices, 300000, 120000, 0112, 1047, 2, 3
devices, 300000, 120000, 011223, 244, 3, 4
devices, 300000, 120000, 0112233112, 176, 5, 4
devices, 300000, 120000, 01122331, 88, 4, 4
devices, 300000, 120000, 01122113, 62, 4, 4
devices, 300000, 120000, 011221, 41, 3, 3
devices, 300000, 120000, 0110, 36, 2, 2
devices, 300000, 120000, 011001, 29, 3, 2
devices, 300000, 120000, 01100110, 25, 4, 2
devices, 300000, 120000, 0110011001, 20, 5, 2
devices, 300000, 120000, 01122112, 15, 4, 3
devices, 300000, 120000, 011002, 15, 3, 3
devices, 300000, 120000, 0112211221, 12, 5, 3
devices, 300000, 120000, 01122334, 9, 4, 5
devices, 300000, 120000, 011220, 9, 3, 3
devices, 300000, 120000, 011223311223, 8, 6, 4
devices, 300000, 120000, 01100112, 8, 4, 3
devices, 300000, 120000, 0112211223, 6, 5, 4
devices, 300000, 120000, 01122001, 6, 4, 3
devices, 300000, 120000, 0110022110, 6, 5, 3
devices, 300000, 120000, 0110011002, 6, 5, 3
devices, 300000, 120000, 0112200112, 4, 5, 3
devices, 300000, 120000, 011002211002, 4, 6, 3
devices, 300000, 120000, 0112211334, 3, 5, 5
devices, 300000, 120000, 01100223, 3, 4, 4
devices, 300000, 120000, 01100221, 3, 4, 3
devices, 300000, 120000, 01122110, 2, 4, 3
devices, 300000, 120000, 0110011223, 1, 5, 4
devices, 300000, 180000, 01, 3191, 1, 2
devices, 300000, 180000, 0112, 1220, 2, 3
devices, 300000, 180000, 011223, 359, 3, 4
devices, 300000, 180000, 0112233112, 219, 5, 4
devices, 300000, 180000, 01122113, 149, 4, 4
devices, 300000, 180000, 01122331, 88, 4, 4
devices, 300000, 180000, 011221, 74, 3, 3
devices, 300000, 180000, 011001, 47, 3, 2
devices, 300000, 180000, 0110, 46, 2, 2
devices, 300000, 180000, 01100110, 44, 4, 2
devices, 300000, 180000, 01100112, 33, 4, 3
devices, 300000, 180000, 011002, 31, 3, 3
devices, 300000, 180000, 0110011002, 29, 5, 3
devices, 300000, 180000, 0110011001, 24, 5, 2
devices, 300000, 180000, 01122112, 19, 4, 3
devices, 300000, 180000, 0112211223, 16, 5, 4
devices, 300000, 180000, 011220, 13, 3, 3
devices, 300000, 180000, 0112211221, 12, 5, 3
devices, 300000, 180000, 011223311223, 10, 6, 4
devices, 300000, 180000, 01122334, 9, 4, 5
devices, 300000, 180000, 01122001, 7, 4, 3
devices, 300000, 180000, 0110022110, 7, 5, 3
devices, 300000, 180000, 01100223, 6, 4, 4
devices, 300000, 180000, 01122110, 5, 4, 3
devices, 300000, 180000, 0112200112, 5, 5, 3
devices, 300000, 180000, 011002211002, 5, 6, 3
devices, 300000, 180000, 0112211334, 3, 5, 5
devices, 300000, 180000, 01100221, 3, 4, 3
devices, 300000, 180000, 0110011223, 3, 5, 4
devices, 300000, 240000, 01, 3191, 1, 2
devices, 300000, 240000, 0112, 1323, 2, 3
devices, 300000, 240000, 011223, 387, 3, 4
devices, 300000, 240000, 0112233112, 264, 5, 4
devices, 300000, 240000, 01122113, 153, 4, 4
devices, 300000, 240000, 01122331, 131, 4, 4
devices, 300000, 240000, 011221, 82, 3, 3
devices, 300000, 240000, 011001, 54, 3, 2
devices, 300000, 240000, 0110, 52, 2, 2
devices, 300000, 240000, 01100110, 44, 4, 2
devices, 300000, 240000, 01100112, 41, 4, 3
devices, 300000, 240000, 011002, 40, 3, 3
devices, 300000, 240000, 0110011002, 29, 5, 3
devices, 300000, 240000, 0110011001, 24, 5, 2
devices, 300000, 240000, 01122112, 19, 4, 3
devices, 300000, 240000, 0112211223, 16, 5, 4
devices, 300000, 240000, 011220, 15, 3, 3
devices, 300000, 240000, 011223311223, 12, 6, 4
devices, 300000, 240000, 0112211221, 12, 5, 3
devices, 300000, 240000, 01122334, 9, 4, 5
devices, 300000, 240000, 01122001, 9, 4, 3
devices, 300000, 240000, 0110022110, 9, 5, 3
devices, 300000, 240000, 01100223, 7, 4, 4
devices, 300000, 240000, 0112200112, 6, 5, 3
devices, 300000, 240000, 011002211002, 6, 6, 3
devices, 300000, 240000, 01122110, 5, 4, 3
devices, 300000, 240000, 01100221, 4, 4, 3
devices, 300000, 240000, 0112211334, 3, 5, 5
devices, 300000, 240000, 0110011223, 3, 5, 4
devices, 300000, 300000, 01, 3191, 1, 2
devices, 300000, 300000, 0112, 1413, 2, 3
devices, 300000, 300000, 011223, 418, 3, 4
devices, 300000, 300000, 0112233112, 264, 5, 4
devices, 300000, 300000, 01122113, 180, 4, 4
devices, 300000, 300000, 01122331, 131, 4, 4
devices, 300000, 300000, 011221, 112, 3, 3
devices, 300000, 300000, 0110, 60, 2, 2
devices, 300000, 300000, 011001, 57, 3, 2
devices, 300000, 300000, 011002, 52, 3, 3
devices, 300000, 300000, 01100110, 45, 4, 2
devices, 300000, 300000, 01100112, 42, 4, 3
devices, 300000, 300000, 0110011002, 30, 5, 3
devices, 300000, 300000, 0110011001, 24, 5, 2
devices, 300000, 300000, 01122112, 21, 4, 3
devices, 300000, 300000, 0112211223, 18, 5, 4
devices, 300000, 300000, 011220, 16, 3, 3
devices, 300000, 300000, 011223311223, 12, 6, 4
devices, 300000, 300000, 0112211221, 12, 5, 3
devices, 300000, 300000, 01122334, 9, 4, 5
devices, 300000, 300000, 01122001, 9, 4, 3
devices, 300000, 300000, 0110022110, 9, 5, 3
devices, 300000, 300000, 01100223, 7, 4, 4
devices, 300000, 300000, 01122110, 6, 4, 3
devices, 300000, 300000, 0112200112, 6, 5, 3
devices, 300000, 300000, 011002211002, 6, 6, 3
devices, 300000, 300000, 01100221, 4, 4, 3
devices, 300000, 300000, 0112211334, 3, 5, 5
devices, 300000, 300000, 0110011223, 3, 5, 4
