Test, Nodes, Edges, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11
itsecurity, 8671, 13652, 1, 1, 10, 15, 2700000, 129550, 6811, 15511, 10610, 11838, 3403, 330, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 3000000, 137110, 6812, 16335, 11210, 13318, 3895, 378, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 3300000, 132696, 6812, 17030, 11305, 13318, 3895, 378, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 3600000, 132542, 6812, 17668, 11602, 13318, 3895, 378, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 1000, 31585, 6767, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 5000, 31876, 6768, 280, 3, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 10000, 33676, 6768, 321, 3, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 30000, 34962, 6769, 545, 18, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 60000, 34144, 6769, 664, 26, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 120000, 46146, 6786, 1386, 466, 103, 4, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 300000, 61301, 6794, 2677, 1246, 590, 178, 21, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 600000, 71874, 6794, 4314, 2375, 1953, 781, 90, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 900000, 113709, 6808, 6897, 5967, 7006, 2341, 252, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 1200000, 131372, 6810, 8532, 7715, 9625, 2909, 294, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 1500000, 149263, 6810, 10425, 9709, 12139, 3711, 378, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 1800000, 149088, 6810, 11496, 10261, 12922, 3839, 378, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 2100000, 149033, 6811, 13073, 11051, 13311, 3895, 378, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 2400000, 131516, 6811, 14254, 11230, 13318, 3895, 378, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 2700000, 134786, 6811, 15566, 11230, 13318, 3895, 378, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 3000000, 132291, 6812, 16335, 11563, 13318, 3895, 378, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 3300000, 127694, 6812, 17030, 12100, 13318, 3895, 378, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 3600000, 116260, 6812, 17668, 12334, 13318, 3895, 378, 0, 0, 0, 0, 0
