Test, Nodes, Edges, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16
devices, 4976, 6558, 1, 0, 10, 15, 3600000, 637235, 3191, 2333, 2143, 3328, 10113, 8250, 17784, 8208, 9738, 2592, 810, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 1000, 77036, 6766, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 5000, 94665, 6766, 282, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 10000, 92444, 6766, 323, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 30000, 76484, 6766, 548, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 60000, 85192, 6766, 667, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 120000, 68186, 6766, 1258, 193, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 300000, 105100, 6766, 2374, 695, 180, 130, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 600000, 77078, 6766, 3863, 1326, 515, 437, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 900000, 96357, 6766, 5930, 2462, 1446, 1023, 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 1200000, 110837, 6766, 7353, 3545, 2897, 1923, 982, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 1500000, 141571, 6766, 8989, 4765, 4140, 2692, 1655, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 1800000, 236649, 6766, 9998, 5535, 6237, 3615, 2979, 473, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 2100000, 357330, 6766, 11444, 6433, 7730, 4161, 3580, 583, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 2400000, 331962, 6766, 12603, 7283, 9724, 4926, 5032, 781, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 2700000, 334950, 6766, 13915, 7349, 9724, 4936, 5032, 781, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 3000000, 336249, 6766, 14685, 7614, 10874, 5241, 5877, 891, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 3300000, 308264, 6766, 15380, 7709, 10874, 5241, 5877, 891, 0, 0, 0, 0, 0, 0, 0, 0, 0
