Test, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16
devices, 1, 0, 10, 15, 3000000, 199112, 3191, 1203, 1103, 2017, 5775, 4572, 9216, 3582, 4212, 810, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 3300000, 203823, 3191, 1255, 1158, 2101, 6495, 4815, 10773, 3744, 5022, 810, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 3600000, 267528, 3191, 1323, 1323, 2302, 8157, 5328, 14022, 4068, 6642, 810, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 1000, 77564, 6766, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 5000, 58485, 6766, 257, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 10000, 63021, 6766, 280, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 30000, 63617, 6766, 400, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 60000, 83188, 6766, 480, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 120000, 75010, 6766, 938, 84, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 300000, 79779, 6766, 1802, 376, 128, 74, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 600000, 120943, 6766, 3169, 841, 365, 280, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 900000, 156764, 6766, 4843, 1744, 997, 617, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 1200000, 149870, 6766, 6105, 2539, 2204, 1107, 734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 1500000, 143327, 6766, 7667, 3573, 3150, 1632, 1220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 1800000, 167743, 6766, 8650, 4167, 4993, 2069, 2376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 2100000, 118406, 6766, 9972, 4885, 6304, 2335, 2896, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 2400000, 108475, 6766, 11002, 5387, 8109, 2723, 4211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 2700000, 102042, 6766, 12266, 5396, 8109, 2728, 4211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 3000000, 105944, 6766, 13010, 5581, 9159, 2858, 4986, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 3300000, 106413, 6766, 13641, 5592, 9159, 2858, 4986, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 1, 10, 15, 3600000, 101067, 6766, 14240, 5646, 9159, 2858, 4986, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 1000, 76383, 6766, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 5000, 60884, 6766, 257, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 10000, 75916, 6766, 280, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 30000, 74827, 6766, 400, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 60000, 55357, 6766, 480, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 120000, 79754, 6766, 938, 183, 62, 139, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
