Test, Nodes, Edges, Algorithm, TimeWindow, PatternFamily, PatternGroup, 123,213,133,313,233,323
smarthomes,6525,8282,3,1200000,121312,6,565,606,24,329,2,393
smarthomes,6525,8282,3,1200000,121132,5,976,18,884,26,954,750
smarthomes,6525,8282,3,1200000,121212,4,5,3,22,509,16,354
smarthomes,6525,8282,3,1200000,121122,3,1508,2,1132,768,448,53042
smarthomes,6525,8282,3,1200000,122132,2,493,25,493,25,573,573
smarthomes,6525,8282,3,1200000,124134,1,527,32,527,32,1282,1282
smarthomes,6525,8282,3,2400000,121322,8,71837,445,344,508,1031,51122
smarthomes,6525,8282,3,2400000,121232,7,414,11,247,3,921,947
smarthomes,6525,8282,3,2400000,121312,6,682,606,28,522,2,420
smarthomes,6525,8282,3,2400000,121132,5,1760,25,1718,23,1022,825
smarthomes,6525,8282,3,2400000,121212,4,6,3,22,510,26,531
smarthomes,6525,8282,3,2400000,121122,3,1618,2,2090,2761,602,59675
smarthomes,6525,8282,3,2400000,122132,2,567,25,567,25,592,592
smarthomes,6525,8282,3,2400000,124134,1,620,32,620,32,1317,1317
smarthomes,6525,8282,3,3600000,121322,8,96353,445,414,564,1125,78203
smarthomes,6525,8282,3,3600000,121232,7,604,13,327,3,1962,1069
smarthomes,6525,8282,3,3600000,121312,6,838,609,31,925,2,486
smarthomes,6525,8282,3,3600000,121132,5,2691,21,2867,32,1202,969
smarthomes,6525,8282,3,3600000,121212,4,6,3,22,510,24,531
smarthomes,6525,8282,3,3600000,121122,3,1881,2,3483,3221,912,107037
smarthomes,6525,8282,3,3600000,122132,2,727,25,727,25,650,650
smarthomes,6525,8282,3,3600000,124134,1,728,32,728,32,1397,1397
datamining,7453,10748,3,1000,121322,8,57,8,3,17,2,109
datamining,7453,10748,3,1000,121232,7,0,1,3,0,5,2
datamining,7453,10748,3,1000,121312,6,2,0,0,0,0,14
datamining,7453,10748,3,1000,121132,5,54,3,43,0,100,94
datamining,7453,10748,3,1000,121212,4,0,0,0,0,3,0
datamining,7453,10748,3,1000,121122,3,5,0,50,3,6,47
datamining,7453,10748,3,1000,122132,2,42,4,42,4,29,29
datamining,7453,10748,3,1000,124134,1,43,4,43,4,183,183
datamining,7453,10748,3,5000,121322,8,4486,8,8,51,12,2574
datamining,7453,10748,3,5000,121232,7,6,1,25,0,57,5
datamining,7453,10748,3,5000,121312,6,60,0,0,0,0,67
datamining,7453,10748,3,5000,121132,5,104,3,76,0,202,188
datamining,7453,10748,3,5000,121212,4,0,0,0,7,3,9
