Test, Nodes, Edges, Algorithm, TimeWindow, PatternFamily, PatternGroup,123,213,133,313,233,323
datamining,7453,10748,3,600000,121212,4,1,0,8,172,6,111
datamining,7453,10748,3,1200000,121212,4,1,0,8,274,8,162
datamining,7453,10748,3,2400000,121212,4,1,0,8,368,8,209
datamining,7453,10748,3,3600000,121212,4,1,0,14,852,9,451
datamining,7453,10748,3,1000,121132,5,54,3,43,0,100,94
datamining,7453,10748,3,5000,121132,5,104,3,76,0,202,188
datamining,7453,10748,3,10000,121132,5,159,2,123,1,235,263
datamining,7453,10748,3,30000,121132,5,277,2,243,1,330,392
datamining,7453,10748,3,60000,121132,5,1015,3,754,0,529,606
datamining,7453,10748,3,120000,121132,5,2591,2,2259,1,872,932
datamining,7453,10748,3,300000,121132,5,7495,4,7818,5,1516,1742
datamining,7453,10748,3,600000,121132,5,11005,3,13101,6,1818,2277
datamining,7453,10748,3,1200000,121132,5,20480,6,23574,3,2303,3048
datamining,7453,10748,3,2400000,121132,5,50861,6,67568,3,3527,4378
datamining,7453,10748,3,3600000,121132,5,106228,4,136491,5,7506,9376
datamining,7453,10748,3,1000,121312,6,2,0,0,0,0,14
datamining,7453,10748,3,5000,121312,6,60,0,0,0,0,67
datamining,7453,10748,3,10000,121312,6,132,0,0,0,0,100
datamining,7453,10748,3,30000,121312,6,211,0,0,0,0,143
datamining,7453,10748,3,60000,121312,6,354,0,0,27,0,251
datamining,7453,10748,3,120000,121312,6,673,0,0,76,0,452
datamining,7453,10748,3,300000,121312,6,1117,59,1,259,1,870
datamining,7453,10748,3,600000,121312,6,1673,59,1,450,1,1071
datamining,7453,10748,3,1200000,121312,6,2198,59,1,727,1,1611
datamining,7453,10748,3,2400000,121312,6,2900,59,1,1806,1,2495
datamining,7453,10748,3,3600000,121312,6,6068,59,1,5153,1,5086
datamining,7453,10748,3,1000,121232,7,0,1,3,0,5,2
datamining,7453,10748,3,5000,121232,7,6,1,25,0,57,5
datamining,7453,10748,3,10000,121232,7,8,3,41,0,84,5
datamining,7453,10748,3,30000,121232,7,17,3,83,0,296,7
datamining,7453,10748,3,60000,121232,7,80,3,212,0,663,15
datamining,7453,10748,3,120000,121232,7,180,3,467,0,1039,25
datamining,7453,10748,3,300000,121232,7,362,2,1317,2,1623,100
datamining,7453,10748,3,600000,121232,7,544,5,1948,2,2011,112
datamining,7453,10748,3,1200000,121232,7,728,3,2492,2,2266,114
datamining,7453,10748,3,2400000,121232,7,1466,3,4110,2,3021,313
datamining,7453,10748,3,3600000,121232,7,3236,5,6652,2,8113,348
datamining,7453,10748,3,1000,121322,8,57,8,3,17,2,109
datamining,7453,10748,3,5000,121322,8,4486,8,8,51,12,2574
datamining,7453,10748,3,10000,121322,8,7077,8,8,85,15,5319
datamining,7453,10748,3,30000,121322,8,8371,8,16,115,20,6929
datamining,7453,10748,3,60000,121322,8,14047,8,72,186,28,10326
datamining,7453,10748,3,120000,121322,8,38043,8,187,276,39,24193
datamining,7453,10748,3,300000,121322,8,86368,55,432,543,115,61951
datamining,7453,10748,3,600000,121322,8,115622,55,648,736,131,86720
datamining,7453,10748,3,1200000,121322,8,184772,55,1138,917,134,141785
datamining,7453,10748,3,2400000,121322,8,359555,55,2231,1776,240,305550
datamining,7453,10748,3,3600000,121322,8,702566,55,4876,4220,257,657068
