Test, Degree
model2_5000,12
model2_5000,13
model2_5000,15
model2_5000,8
model2_5000,10
model2_5000,9
model2_5000,6
model2_5000,10
model2_5000,13
model2_5000,6
model2_5000,13
model2_5000,8
model2_5000,12
model2_5000,12
model2_5000,18
model2_5000,9
model2_5000,8
model2_5000,11
model2_5000,8
model2_5000,5
model2_5000,8
model2_5000,9
model2_5000,11
model2_5000,16
model2_5000,11
model2_5000,14
model2_5000,8
model2_5000,11
model2_5000,15
model2_5000,7
model2_5000,5
model2_5000,9
model2_5000,8
model2_5000,6
model2_5000,9
model2_5000,8
model2_5000,7
model2_5000,5
model2_5000,14
model2_5000,9
model2_5000,12
model2_5000,15
model2_5000,9
model2_5000,12
model2_5000,10
model2_5000,10
model2_5000,9
model2_5000,9
model2_5000,9
model2_5000,8
model2_5000,13
model2_5000,9
model2_5000,8
model2_5000,9
model2_5000,12
model2_5000,8
model2_5000,6
model2_5000,8
model2_5000,9
model2_5000,11
model2_5000,10
model2_5000,9
model2_5000,9
model2_5000,9
model2_5000,8
model2_5000,10
model2_5000,13
model2_5000,7
model2_5000,12
model2_5000,7
model2_5000,12
model2_5000,4
model2_5000,8
model2_5000,9
model2_5000,5
model2_5000,12
model2_5000,8
model2_5000,5
model2_5000,7
model2_5000,11
model2_5000,3
model2_5000,9
model2_5000,6
model2_5000,10
model2_5000,5
model2_5000,11
model2_5000,11
model2_5000,10
model2_5000,6
model2_5000,12
model2_5000,12
model2_5000,12
model2_5000,12
model2_5000,7
model2_5000,7
model2_5000,6
model2_5000,5
model2_5000,10
model2_5000,8
model2_5000,4
model2_5000,10
model2_5000,4
model2_5000,10
model2_5000,4
model2_5000,8
model2_5000,12
model2_5000,3
model2_5000,6
model2_5000,5
model2_5000,6
model2_5000,8
model2_5000,9
model2_5000,5
model2_5000,12
model2_5000,8
model2_5000,10
model2_5000,6
model2_5000,7
model2_5000,7
model2_5000,6
model2_5000,4
model2_5000,6
model2_5000,5
model2_5000,13
model2_5000,8
model2_5000,12
model2_5000,9
model2_5000,7
model2_5000,10
model2_5000,4
model2_5000,10
model2_5000,7
model2_5000,6
model2_5000,7
model2_5000,8
model2_5000,7
model2_5000,8
model2_5000,10
model2_5000,7
model2_5000,6
model2_5000,10
model2_5000,5
model2_5000,10
model2_5000,8
model2_5000,7
model2_5000,4
model2_5000,5
model2_5000,8
model2_5000,9
model2_5000,12
model2_5000,3
model2_5000,7
model2_5000,6
model2_5000,8
model2_5000,9
model2_5000,7
model2_5000,6
model2_5000,7
model2_5000,9
model2_5000,6
model2_5000,8
model2_5000,6
model2_5000,4
model2_5000,8
model2_5000,5
model2_5000,5
model2_5000,6
model2_5000,8
model2_5000,9
model2_5000,8
model2_5000,6
model2_5000,5
model2_5000,10
model2_5000,9
model2_5000,7
model2_5000,9
model2_5000,4
model2_5000,3
model2_5000,5
model2_5000,5
model2_5000,6
model2_5000,3
model2_5000,4
model2_5000,7
model2_5000,6
model2_5000,6
model2_5000,5
model2_5000,5
model2_5000,6
model2_5000,7
model2_5000,6
model2_5000,6
model2_5000,8
model2_5000,8
model2_5000,6
model2_5000,4
model2_5000,5
model2_5000,7
model2_5000,8
model2_5000,8
model2_5000,7
model2_5000,8
model2_5000,4
model2_5000,4
model2_5000,2
model2_5000,7
model2_5000,7
model2_5000,7
model2_5000,6
model2_5000,3
model2_5000,8
model2_5000,7
model2_5000,4
model2_5000,6
model2_5000,7
model2_5000,6
model2_5000,10
model2_5000,4
model2_5000,5
model2_5000,8
model2_5000,5
model2_5000,4
model2_5000,9
model2_5000,6
model2_5000,6
model2_5000,3
model2_5000,5
model2_5000,4
model2_5000,6
model2_5000,6
model2_5000,6
model2_5000,6
model2_5000,5
model2_5000,4
model2_5000,9
model2_5000,7
model2_5000,6
model2_5000,6
model2_5000,4
model2_5000,3
model2_5000,5
model2_5000,6
model2_5000,8
model2_5000,8
model2_5000,4
model2_5000,10
model2_5000,7
model2_5000,5
model2_5000,5
model2_5000,3
model2_5000,9
model2_5000,5
model2_5000,4
model2_5000,4
model2_5000,1
model2_5000,1
model2_5000,4
model2_5000,3
model2_5000,3
model2_5000,5
model2_5000,7
model2_5000,5
model2_5000,5
model2_5000,9
model2_5000,6
model2_5000,3
model2_5000,4
model2_5000,2
model2_5000,10
model2_5000,2
model2_5000,6
model2_5000,3
model2_5000,2
model2_5000,4
model2_5000,6
model2_5000,3
model2_5000,3
model2_5000,3
model2_5000,4
model2_5000,5
model2_5000,3
model2_5000,3
model2_5000,6
model2_5000,5
model2_5000,6
model2_5000,6
model2_5000,5
model2_5000,5
model2_5000,6
model2_5000,4
model2_5000,4
model2_5000,4
model2_5000,6
model2_5000,4
model2_5000,4
model2_5000,5
model2_5000,8
model2_5000,6
model2_5000,4
model2_5000,4
model2_5000,3
model2_5000,2
model2_5000,5
model2_5000,9
model2_5000,3
model2_5000,7
model2_5000,8
model2_5000,3
model2_5000,4
model2_5000,9
model2_5000,4
model2_5000,4
model2_5000,4
model2_5000,5
model2_5000,6
model2_5000,5
model2_5000,7
model2_5000,7
model2_5000,9
model2_5000,4
model2_5000,1
model2_5000,7
model2_5000,5
model2_5000,4
model2_5000,3
model2_5000,6
model2_5000,5
model2_5000,2
model2_5000,4
model2_5000,5
model2_5000,7
model2_5000,6
model2_5000,4
model2_5000,2
model2_5000,5
model2_5000,4
model2_5000,4
model2_5000,7
model2_5000,6
model2_5000,7
model2_5000,5
model2_5000,8
model2_5000,5
model2_5000,5
model2_5000,4
model2_5000,4
model2_5000,10
model2_5000,4
model2_5000,4
model2_5000,2
model2_5000,2
model2_5000,1
model2_5000,7
model2_5000,4
model2_5000,5
model2_5000,2
model2_5000,8
model2_5000,4
model2_5000,4
model2_5000,3
model2_5000,7
model2_5000,3
model2_5000,4
model2_5000,3
model2_5000,2
model2_5000,3
model2_5000,3
model2_5000,8
model2_5000,4
model2_5000,4
model2_5000,5
model2_5000,3
model2_5000,4
model2_5000,3
model2_5000,4
model2_5000,3
model2_5000,8
model2_5000,8
model2_5000,3
model2_5000,2
model2_5000,6
model2_5000,6
model2_5000,4
model2_5000,9
model2_5000,4
model2_5000,7
model2_5000,4
model2_5000,7
model2_5000,4
model2_5000,4
model2_5000,4
model2_5000,4
model2_5000,4
model2_5000,2
model2_5000,6
model2_5000,4
model2_5000,2
model2_5000,2
model2_5000,2
model2_5000,2
model2_5000,4
model2_5000,1
model2_5000,2
model2_5000,2
model2_5000,5
model2_5000,3
model2_5000,5
model2_5000,8
model2_5000,6
model2_5000,5
model2_5000,5
model2_5000,4
model2_5000,2
model2_5000,5
model2_5000,4
model2_5000,5
model2_5000,1
model2_5000,5
model2_5000,3
model2_5000,5
model2_5000,2
model2_5000,2
model2_5000,2
model2_5000,2
model2_5000,3
model2_5000,2
model2_5000,4
model2_5000,4
model2_5000,4
model2_5000,3
model2_5000,6
model2_5000,4
model2_5000,4
model2_5000,3
model2_5000,4
model2_5000,2
model2_5000,2
model2_5000,6
model2_5000,3
model2_5000,3
model2_5000,5
model2_5000,4
model2_5000,3
model2_5000,2
model2_5000,7
model2_5000,4
model2_5000,4
model2_5000,5
model2_5000,3
model2_5000,5
model2_5000,4
model2_5000,2
model2_5000,3
model2_5000,4
model2_5000,3
model2_5000,3
model2_5000,5
model2_5000,5
model2_5000,4
model2_5000,3
model2_5000,2
model2_5000,6
model2_5000,6
model2_5000,3
model2_5000,2
model2_5000,3
model2_5000,2
model2_5000,1
model2_5000,4
model2_5000,6
model2_5000,5
model2_5000,5
model2_5000,3
model2_5000,4
model2_5000,4
model2_5000,5
model2_5000,2
model2_5000,5
model2_5000,4
model2_5000,4
model2_5000,2
model2_5000,7
model2_5000,2
model2_5000,3
model2_5000,4
model2_5000,4
model2_5000,5
model2_5000,5
model2_5000,2
model2_5000,3
model2_5000,3
model2_5000,6
model2_5000,2
model2_5000,7
model2_5000,3
model2_5000,4
model2_5000,6
model2_5000,3
model2_5000,5
model2_5000,2
model2_5000,2
model2_5000,3
model2_5000,3
model2_5000,4
model2_5000,5
