Dataset,time
smartdevices, 10040
smartdevices, 644
smartdevices, 12570
smartdevices, 1187
smartdevices, 39209
smartdevices, 68991
smartdevices, 14592
smartdevices, 14534
smartdevices, 63
smartdevices, 9
smartdevices, 1
smartdevices, 73
smartdevices, 33
smartdevices, 51
smartdevices, 57
smartdevices, 191
smartdevices, 1131
smartdevices, 465
smartdevices, 177
smartdevices, 92
smartdevices, 1519
smartdevices, 19
smartdevices, 0
smartdevices, 26
smartdevices, 6
smartdevices, 31855
smartdevices, 27318
smartdevices, 59
smartdevices, 7807
smartdevices, 7502
smartdevices, 661
smartdevices, 142
smartdevices, 5575
smartdevices, 4356
smartdevices, 3234
smartdevices, 16555
smartdevices, 21
smartdevices, 11841
smartdevices, 12496
smartdevices, 20890
smartdevices, 4
smartdevices, 13747
smartdevices, 594
smartdevices, 10991
smartdevices, 72793
smartdevices, 71
smartdevices, 115
smartdevices, 39
smartdevices, 42
smartdevices, 63960
smartdevices, 3669
smartdevices, 104510
smartdevices, 14244
smartdevices, 10937
smartdevices, 12994
smartdevices, 190035
smartdevices, 278
smartdevices, 32782
smartdevices, 35
smartdevices, 79
smartdevices, 8
smartdevices, 20
smartdevices, 341
smartdevices, 510
smartdevices, 2644
smartdevices, 67
smartdevices, 325
smartdevices, 12
smartdevices, 42767
smartdevices, 7158
smartdevices, 2707
smartdevices, 325
smartdevices, 1005
smartdevices, 15336
smartdevices, 47103
smartdevices, 20
smartdevices, 13783
smartdevices, 108
smartdevices, 17595
smartdevices, 28992
smartdevices, 41437
smartdevices, 70532
smartdevices, 7819
smartdevices, 99072
smartdevices, 3
smartdevices, 20229
smartdevices, 8702
smartdevices, 24774
smartdevices, 67134
smartdevices, 773
smartdevices, 7581
smartdevices, 53962
smartdevices, 5
smartdevices, 6826
smartdevices, 129023
smartdevices, 4054
smartdevices, 37733
smartdevices, 3479
smartdevices, 14864
smartdevices, 101
smartdevices, 79
smartdevices, 819
smartdevices, 25898
smartdevices, 35
smartdevices, 183970
smartdevices, 187
smartdevices, 95025
smartdevices, 136
smartdevices, 19
smartdevices, 1008
smartdevices, 155
smartdevices, 8879
smartdevices, 127
smartdevices, 133
smartdevices, 0
smartdevices, 13603
smartdevices, 5614
smartdevices, 3
smartdevices, 92442
smartdevices, 202528
smartdevices, 59873
smartdevices, 3370
smartdevices, 8100
smartdevices, 29520
smartdevices, 16924
smartdevices, 169379
smartdevices, 2
smartdevices, 11021
smartdevices, 782
smartdevices, 17
smartdevices, 48934
smartdevices, 1957
smartdevices, 1169
smartdevices, 916
smartdevices, 4003
smartdevices, 10975
smartdevices, 11310
smartdevices, 26561
smartdevices, 52872
smartdevices, 1109
smartdevices, 167
smartdevices, 25
smartdevices, 284
smartdevices, 1534
smartdevices, 9386
smartdevices, 1640
smartdevices, 28185
smartdevices, 13159
smartdevices, 33979
smartdevices, 72416
smartdevices, 39776
smartdevices, 105
smartdevices, 148646
smartdevices, 57
smartdevices, 144
smartdevices, 43
smartdevices, 198
smartdevices, 720
smartdevices, 100482
smartdevices, 278
smartdevices, 118
smartdevices, 136643
smartdevices, 64927
smartdevices, 5768
smartdevices, 1402
smartdevices, 5226
smartdevices, 17
smartdevices, 2405
smartdevices, 754
smartdevices, 209
smartdevices, 266
smartdevices, 22637
smartdevices, 62049
smartdevices, 21718
smartdevices, 52082
smartdevices, 657
smartdevices, 122
smartdevices, 14736
smartdevices, 33978
smartdevices, 4567
smartdevices, 12994
smartdevices, 104
smartdevices, 1
smartdevices, 18
smartdevices, 23
smartdevices, 345
smartdevices, 141
smartdevices, 138
smartdevices, 15362
smartdevices, 29915
smartdevices, 93299
smartdevices, 4498
smartdevices, 71206
smartdevices, 9622
smartdevices, 265
smartdevices, 235
smartdevices, 12
smartdevices, 2
smartdevices, 18
smartdevices, 3
smartdevices, 6
smartdevices, 4
smartdevices, 12
smartdevices, 14
smartdevices, 1
smartdevices, 5
smartdevices, 2
smartdevices, 2
smartdevices, 5
smartdevices, 20
smartdevices, 7
smartdevices, 1
smartdevices, 6
smartdevices, 8
smartdevices, 2
smartdevices, 9
smartdevices, 5
smartdevices, 2
smartdevices, 4
smartdevices, 1
smartdevices, 4
smartdevices, 1
smartdevices, 12
smartdevices, 6
smartdevices, 8
smartdevices, 15
smartdevices, 1
smartdevices, 7
smartdevices, 0
smartdevices, 17
smartdevices, 1
smartdevices, 3
smartdevices, 2
smartdevices, 9
smartdevices, 12
smartdevices, 6
smartdevices, 5
smartdevices, 19
smartdevices, 5
smartdevices, 15
smartdevices, 2
smartdevices, 10
smartdevices, 41
smartdevices, 8
smartdevices, 15
smartdevices, 11
smartdevices, 2
smartdevices, 8
smartdevices, 568
smartdevices, 479
smartdevices, 7059
smartdevices, 1098
smartdevices, 12353
smartdevices, 2650
smartdevices, 2603
smartdevices, 12132
smartdevices, 30639
smartdevices, 7287
smartdevices, 3721
smartdevices, 91930
smartdevices, 37214
smartdevices, 27233
smartdevices, 20125
smartdevices, 101
smartdevices, 3698
smartdevices, 757115
smartdevices, 1766
smartdevices, 0
smartdevices, 1
smartdevices, 49667
smartdevices, 1658
smartdevices, 28579
smartdevices, 29189
smartdevices, 49
smartdevices, 1105
smartdevices, 6
smartdevices, 1571
smartdevices, 465
smartdevices, 4
smartdevices, 318
smartdevices, 674
smartdevices, 66147
smartdevices, 3609
smartdevices, 225963
smartdevices, 7823
smartdevices, 629
smartdevices, 13550
smartdevices, 104452
smartdevices, 364850
smartdevices, 230
smartdevices, 708
smartdevices, 338039
smartdevices, 19
smartdevices, 18
smartdevices, 0
smartdevices, 0
smartdevices, 360
smartdevices, 11963
smartdevices, 7115
smartdevices, 42
smartdevices, 130
smartdevices, 74112
smartdevices, 110780
smartdevices, 221108
smartdevices, 1904
smartdevices, 250286
smartdevices, 17109
smartdevices, 116
smartdevices, 104685
smartdevices, 33043
smartdevices, 14
smartdevices, 1809
smartdevices, 23929
smartdevices, 69424
smartdevices, 16279
smartdevices, 41798
smartdevices, 99104
smartdevices, 3220
smartdevices, 447
smartdevices, 11709
smartdevices, 118326
smartdevices, 30104
smartdevices, 4116
smartdevices, 21634
smartdevices, 18884
smartdevices, 134
smartdevices, 6522
smartdevices, 526
smartdevices, 61
smartdevices, 20
smartdevices, 60
smartdevices, 106
smartdevices, 201
smartdevices, 8323
smartdevices, 49954
smartdevices, 6140
smartdevices, 65646
smartdevices, 8702
smartdevices, 13822
smartdevices, 170960
smartdevices, 46312
smartdevices, 59819
smartdevices, 218431
smartdevices, 1819
smartdevices, 25725
smartdevices, 6
smartdevices, 801
smartdevices, 1161
smartdevices, 41326
smartdevices, 17485
smartdevices, 15977
smartdevices, 2646
smartdevices, 2880
smartdevices, 39415
smartdevices, 10104
smartdevices, 24421
smartdevices, 51154
smartdevices, 197
smartdevices, 0
smartdevices, 41554
smartdevices, 32631
smartdevices, 2893
smartdevices, 335
smartdevices, 1431
smartdevices, 4123
smartdevices, 1543
smartdevices, 22468
smartdevices, 7163
smartdevices, 661
smartdevices, 2646
smartdevices, 114633
smartdevices, 24
smartdevices, 2687
smartdevices, 51999
smartdevices, 23
smartdevices, 3464
smartdevices, 4875
smartdevices, 81271
smartdevices, 84575
smartdevices, 13190
smartdevices, 0
smartdevices, 414
smartdevices, 5284
smartdevices, 1899
smartdevices, 1816786
smartdevices, 140291
smartdevices, 29
smartdevices, 21435
smartdevices, 143
smartdevices, 7497
smartdevices, 55151
smartdevices, 33799
smartdevices, 39
smartdevices, 1015
smartdevices, 12669
smartdevices, 74601
smartdevices, 40949
smartdevices, 18
smartdevices, 179
smartdevices, 1032
smartdevices, 16671
smartdevices, 78938
smartdevices, 18328
smartdevices, 69055
smartdevices, 55419
smartdevices, 5832
smartdevices, 47329
smartdevices, 123226
smartdevices, 310202
smartdevices, 42
smartdevices, 1382
smartdevices, 212244
smartdevices, 337
smartdevices, 31
smartdevices, 4885
smartdevices, 471
smartdevices, 796
smartdevices, 7227
smartdevices, 2593
smartdevices, 18305
smartdevices, 220681
smartdevices, 320354
smartdevices, 44
smartdevices, 67478
smartdevices, 192
smartdevices, 557
smartdevices, 1233
smartdevices, 6896
smartdevices, 15
smartdevices, 8923
smartdevices, 1
smartdevices, 22
smartdevices, 388
smartdevices, 1563
smartdevices, 2917
smartdevices, 7928
smartdevices, 1840
smartdevices, 101
smartdevices, 73
smartdevices, 49
smartdevices, 41
smartdevices, 137
smartdevices, 888
smartdevices, 121
smartdevices, 2190
smartdevices, 902
smartdevices, 2015
smartdevices, 7464
smartdevices, 822
smartdevices, 1899
smartdevices, 546
smartdevices, 305
smartdevices, 265
smartdevices, 1096
smartdevices, 13
smartdevices, 28
smartdevices, 8
smartdevices, 6
smartdevices, 0
